"Data","Start time","Giorno della settimana","Mese","Meteo previsto","Meteo effettivo","Transato previsto","Transato pianificato","Transato effettivo","Produttività target","Produttività effettiva","Teste Suggerite","Teste Pianificate","Teste Effettive"
"15/08/2021","15:30","Sunday","August","10d","","","","","","","","",""
"15/08/2021","15:00","Sunday","August","10d","","","","","","","","",""
"15/08/2021","14:30","Sunday","August","10d","","","","","","","","",""
"15/08/2021","14:00","Sunday","August","10d","","","","","","","","",""
"15/08/2021","13:30","Sunday","August","10d","","","","","","","","",""
"15/08/2021","13:00","Sunday","August","10d","","","","","","","","",""
"15/08/2021","12:30","Sunday","August","10d","","","","","","","","",""
"15/08/2021","12:00","Sunday","August","10d","","","","","","","","",""
"15/08/2021","11:30","Sunday","August","10d","","","","","","","","",""
"15/08/2021","11:00","Sunday","August","10d","","","","","","","","",""
"15/08/2021","10:30","Sunday","August","10d","","","","","","","","",""
"15/08/2021","10:00","Sunday","August","10d","","","","","","","","",""
"15/08/2021","09:30","Sunday","August","10d","","","","","","","","",""
"15/08/2021","09:00","Sunday","August","10d","","","","","","","","",""
"14/08/2021","23:30","Saturday","August","04n","03n","","","","","","","",""
"14/08/2021","23:00","Saturday","August","04n","03n","","","","","","","",""
"14/08/2021","22:30","Saturday","August","04n","03n","","","","","","","",""
"14/08/2021","22:00","Saturday","August","04n","03n","","","","","","","",""
"14/08/2021","21:30","Saturday","August","04n","03n","","","","","","","",""
"14/08/2021","21:00","Saturday","August","04n","03n","","","","","","","",""
"14/08/2021","20:30","Saturday","August","04n","03n","","","","","","","",""
"14/08/2021","20:00","Saturday","August","04n","03n","","","","","","","","1"
"14/08/2021","19:30","Saturday","August","03n","03n","","","","","","","","1"
"14/08/2021","19:00","Saturday","August","03n","03n","","","","","","","","1"
"14/08/2021","18:30","Saturday","August","04n","03n","","","","","","","","1"
"14/08/2021","18:00","Saturday","August","04n","03n","","","","","","","","1"
"14/08/2021","17:30","Saturday","August","04d","04d","","","","","","","","1"
"14/08/2021","17:00","Saturday","August","04d","04d","","","","","","","","1"
"14/08/2021","16:30","Saturday","August","04d","10d","","","","","","","","1"
"14/08/2021","16:00","Saturday","August","04d","10d","","","","","","","","1"
"14/08/2021","15:30","Saturday","August","10d","10d","","","","","","","","1"
"14/08/2021","15:00","Saturday","August","10d","10d","","","","","","","","1"
"14/08/2021","14:30","Saturday","August","10d","10d","","","","","","","","1"
"14/08/2021","14:00","Saturday","August","10d","10d","","","","","","","","1"
"14/08/2021","13:30","Saturday","August","10d","10d","","","","","","","","1"
"14/08/2021","13:00","Saturday","August","10d","10d","","","","","","","","1"
"14/08/2021","12:30","Saturday","August","10d","10d","","","","","","","","1"
"14/08/2021","12:00","Saturday","August","10d","10d","","","","","","","","1"
"14/08/2021","11:30","Saturday","August","10d","10d","","","","","","","","1"
"14/08/2021","11:00","Saturday","August","10d","10d","","","","","","","","1"
"14/08/2021","10:30","Saturday","August","10d","10d","","","","","","","","1"
"14/08/2021","10:00","Saturday","August","10d","10d","","","","","","","","1"
"14/08/2021","09:30","Saturday","August","10d","10d","","","","","","","",""
"14/08/2021","09:00","Saturday","August","10d","10d","","","","","","","",""
"13/08/2021","23:30","Friday","August","03n","04n","","","","","","","",""
"13/08/2021","23:00","Friday","August","03n","04n","","","","","","","",""
"13/08/2021","22:30","Friday","August","03n","04n","","","","","","","",""
"13/08/2021","22:00","Friday","August","03n","04n","","","","","","","",""
"13/08/2021","21:30","Friday","August","03n","04n","","","","","","","",""
"13/08/2021","21:00","Friday","August","03n","04n","","","","","","","",""
"13/08/2021","20:30","Friday","August","03n","04n","","","","","","","",""
"13/08/2021","20:00","Friday","August","03n","04n","","","","","","","",""
"13/08/2021","19:30","Friday","August","04n","03n","","","","","","","",""
"13/08/2021","19:00","Friday","August","04n","03n","","","","","","","",""
"13/08/2021","18:30","Friday","August","04n","04n","","","","","","","",""
"13/08/2021","18:00","Friday","August","04n","04n","","","","","","","",""
"13/08/2021","17:30","Friday","August","04d","04d","","","","","","","",""
"13/08/2021","17:00","Friday","August","04d","04d","","","","","","","",""
"13/08/2021","16:30","Friday","August","04d","04d","","","","","","","",""
"13/08/2021","16:00","Friday","August","04d","04d","","","","","","","",""
"13/08/2021","15:30","Friday","August","10d","04d","","","","","","","",""
"13/08/2021","15:00","Friday","August","10d","04d","","","","","","","",""
"13/08/2021","14:30","Friday","August","10d","10d","","","","","","","",""
"13/08/2021","14:00","Friday","August","10d","10d","","","","","","","",""
"13/08/2021","13:30","Friday","August","10d","10d","","","","","","","",""
"13/08/2021","13:00","Friday","August","10d","10d","","","","","","","",""
"13/08/2021","12:30","Friday","August","10d","10d","","","","","","","",""
"13/08/2021","12:00","Friday","August","10d","10d","","","","","","","",""
"13/08/2021","11:30","Friday","August","10d","10d","","","","","","","",""
"13/08/2021","11:00","Friday","August","10d","10d","","","","","","","",""
"13/08/2021","10:30","Friday","August","10d","10d","","","","","","","",""
"13/08/2021","10:00","Friday","August","10d","10d","","","","","","","",""
"13/08/2021","09:30","Friday","August","10d","10d","","","","","","","",""
"13/08/2021","09:00","Friday","August","10d","10d","","","","","","","",""
"12/08/2021","23:30","Thursday","August","04n","04n","","","","","","","",""
"12/08/2021","23:00","Thursday","August","04n","04n","","","","","","","",""
"12/08/2021","22:30","Thursday","August","04n","04n","","","","","","","",""
"12/08/2021","22:00","Thursday","August","04n","04n","","","","","","","",""
"12/08/2021","21:30","Thursday","August","04n","04n","","","","","","","",""
"12/08/2021","21:00","Thursday","August","04n","04n","","","","","","","",""
"12/08/2021","20:30","Thursday","August","04n","04n","","","","","","","",""
"12/08/2021","20:00","Thursday","August","04n","04n","","","","","","","",""
"12/08/2021","19:30","Thursday","August","03n","10n","","","","","","","",""
"12/08/2021","19:00","Thursday","August","03n","10n","","","","","","","",""
"12/08/2021","18:30","Thursday","August","04n","10n","","","","","","","",""
"12/08/2021","18:00","Thursday","August","04n","10n","","","","","","","",""
"12/08/2021","17:30","Thursday","August","04d","10d","","","","","","","",""
"12/08/2021","17:00","Thursday","August","04d","10d","","","","","","","",""
"12/08/2021","16:30","Thursday","August","04d","04d","","","","","","","",""
"12/08/2021","16:00","Thursday","August","04d","04d","","","","","","","",""
"12/08/2021","15:30","Thursday","August","04d","10d","","","","","","","",""
"12/08/2021","15:00","Thursday","August","04d","10d","","","","","","","",""
"12/08/2021","14:30","Thursday","August","04d","04d","","","","","","","",""
"12/08/2021","14:00","Thursday","August","04d","04d","","","","","","","",""
"12/08/2021","13:30","Thursday","August","04d","10d","","","","","","","",""
"12/08/2021","13:00","Thursday","August","04d","10d","","","","","","","",""
"12/08/2021","12:30","Thursday","August","10d","10d","","","","","","","",""
"12/08/2021","12:00","Thursday","August","10d","10d","","","","","","","",""
"12/08/2021","11:30","Thursday","August","10d","10d","","","","","","","",""
"12/08/2021","11:00","Thursday","August","10d","10d","","","","","","","",""
"12/08/2021","10:30","Thursday","August","10d","10d","","","","","","","",""
"12/08/2021","10:00","Thursday","August","10d","10d","","","","","","","",""
"12/08/2021","09:30","Thursday","August","10d","10d","","","","","","","",""
"12/08/2021","09:00","Thursday","August","10d","10d","","","","","","","",""
"11/08/2021","23:30","Wednesday","August","04n","10n","","","","","","","",""
"11/08/2021","23:00","Wednesday","August","04n","10n","","","","","","","",""
"11/08/2021","22:30","Wednesday","August","10n","10n","","","","","","","",""
"11/08/2021","22:00","Wednesday","August","10n","10n","","","","","","","",""
"11/08/2021","21:30","Wednesday","August","10n","10n","","","","","","","",""
"11/08/2021","21:00","Wednesday","August","10n","10n","","","","","","","",""
"11/08/2021","20:30","Wednesday","August","04n","10n","","","","","","","",""
"11/08/2021","20:00","Wednesday","August","04n","10n","","","","","","","",""
"11/08/2021","19:30","Wednesday","August","10n","10n","","","","","","","",""
"11/08/2021","19:00","Wednesday","August","10n","10n","","","","","","","",""
"11/08/2021","18:30","Wednesday","August","10n","10n","","","","","","","",""
"11/08/2021","18:00","Wednesday","August","10n","10n","","","","","","","",""
"11/08/2021","17:30","Wednesday","August","10d","10d","","","","","","","",""
"11/08/2021","17:00","Wednesday","August","10d","10d","","","","","","","",""
"11/08/2021","16:30","Wednesday","August","10d","10d","","","","","","","",""
"11/08/2021","16:00","Wednesday","August","10d","10d","","","","","","","",""
"11/08/2021","15:30","Wednesday","August","10d","10d","","","","","","","",""
"11/08/2021","15:00","Wednesday","August","10d","10d","","","","","","","",""
"11/08/2021","14:30","Wednesday","August","10d","10d","","","","","","","",""
"11/08/2021","14:00","Wednesday","August","10d","10d","","","","","","","",""
"11/08/2021","13:30","Wednesday","August","10d","10d","","","","","","","",""
"11/08/2021","13:00","Wednesday","August","10d","10d","","","","","","","",""
"11/08/2021","12:30","Wednesday","August","10d","10d","","","","","","","",""
"11/08/2021","12:00","Wednesday","August","10d","10d","","","","","","","",""
"11/08/2021","11:30","Wednesday","August","10d","10d","","","","","","","",""
"11/08/2021","11:00","Wednesday","August","10d","10d","","","","","","","",""
"11/08/2021","10:30","Wednesday","August","10d","10d","","","","","","","",""
"11/08/2021","10:00","Wednesday","August","10d","10d","","","","","","","",""
"11/08/2021","09:30","Wednesday","August","10d","10d","","","","","","","",""
"11/08/2021","09:00","Wednesday","August","10d","10d","","","","","","","",""
"10/08/2021","23:30","Tuesday","August","04n","10n","","","","","","","",""
"10/08/2021","23:00","Tuesday","August","04n","10n","","","","","","","",""
"10/08/2021","22:30","Tuesday","August","10n","10n","","","","","","","",""
"10/08/2021","22:00","Tuesday","August","10n","10n","","","","","","","",""
"10/08/2021","21:30","Tuesday","August","04n","04n","","","","","","","",""
"10/08/2021","21:00","Tuesday","August","04n","04n","","","","","","","",""
"10/08/2021","20:30","Tuesday","August","04n","04n","","","","","","","",""
"10/08/2021","20:00","Tuesday","August","04n","04n","","","","","","","",""
"10/08/2021","19:30","Tuesday","August","04n","04n","","","","","","","",""
"10/08/2021","19:00","Tuesday","August","04n","04n","","","","","","","",""
"10/08/2021","18:30","Tuesday","August","04n","04n","","","","","","","",""
"10/08/2021","18:00","Tuesday","August","04n","04n","","","","","","","",""
"10/08/2021","17:30","Tuesday","August","04d","04d","","","","","","","",""
"10/08/2021","17:00","Tuesday","August","04d","04d","","","","","","","",""
"10/08/2021","16:30","Tuesday","August","04d","10d","","","","","","","",""
"10/08/2021","16:00","Tuesday","August","04d","10d","","","","","","","",""
"10/08/2021","15:30","Tuesday","August","04d","10d","","","","","","","",""
"10/08/2021","15:00","Tuesday","August","04d","10d","","","","","","","",""
"10/08/2021","14:30","Tuesday","August","10d","10d","","","","","","","",""
"10/08/2021","14:00","Tuesday","August","10d","10d","","","","","","","",""
"10/08/2021","13:30","Tuesday","August","10d","10d","","","","","","","",""
"10/08/2021","13:00","Tuesday","August","10d","10d","","","","","","","",""
"10/08/2021","12:30","Tuesday","August","10d","10d","","","","","","","",""
"10/08/2021","12:00","Tuesday","August","10d","10d","","","","","","","",""
"10/08/2021","11:30","Tuesday","August","10d","10d","","","","","","","",""
"10/08/2021","11:00","Tuesday","August","10d","10d","","","","","","","",""
"10/08/2021","10:30","Tuesday","August","10d","04d","","","","","","","",""
"10/08/2021","10:00","Tuesday","August","10d","04d","","","","","","","",""
"10/08/2021","09:30","Tuesday","August","10d","04d","","","","","","","",""
"10/08/2021","09:00","Tuesday","August","10d","04d","","","","","","","",""
"09/08/2021","23:30","Monday","August","10n","","","","","","","","",""
"09/08/2021","23:00","Monday","August","10n","","","","","","","","",""
"09/08/2021","22:30","Monday","August","10n","","","","","","","","",""
"09/08/2021","22:00","Monday","August","10n","","","","","","","","","1"
"09/08/2021","21:30","Monday","August","10n","","","","","","","","","1"
"09/08/2021","21:00","Monday","August","10n","","","","","","","","","1"
"09/08/2021","20:30","Monday","August","10n","","","","","","","","","1"
"09/08/2021","20:00","Monday","August","10n","","","","","","","","","1"
"09/08/2021","19:30","Monday","August","10n","","","","","","","","","1"
"09/08/2021","19:00","Monday","August","10n","","","","","","","","","1"
"09/08/2021","18:30","Monday","August","10n","","","","","","","","","1"
"09/08/2021","18:00","Monday","August","10n","","","","","","","","","1"
"09/08/2021","17:30","Monday","August","10d","","","","","","","","","1"
"09/08/2021","17:00","Monday","August","10d","","","","","","","","","1"
"09/08/2021","16:30","Monday","August","10d","","","","","","","","","1"
"09/08/2021","16:00","Monday","August","10d","","","","","","","","","1"
"09/08/2021","15:30","Monday","August","10d","","","","","","","","","1"
"09/08/2021","15:00","Monday","August","10d","","","","","","","","","1"
"09/08/2021","14:30","Monday","August","10d","","","","","","","","","1"
"09/08/2021","14:00","Monday","August","10d","","","","","","","","","1"
"09/08/2021","13:30","Monday","August","10d","","","","","","","","","1"
"09/08/2021","13:00","Monday","August","10d","","","","","","","","","1"
"09/08/2021","12:30","Monday","August","10d","","","","","","","","","1"
"09/08/2021","12:00","Monday","August","10d","","","","","","","","","1"
"09/08/2021","11:30","Monday","August","10d","","","","","","","","",""
"09/08/2021","11:00","Monday","August","10d","","","","","","","","",""
"09/08/2021","10:30","Monday","August","04d","","","","","","","","",""
"09/08/2021","10:00","Monday","August","04d","","","","","","","","",""
"09/08/2021","09:30","Monday","August","04d","","","","","","","","",""
"09/08/2021","09:00","Monday","August","04d","","","","","","","","",""
"08/08/2021","23:30","Sunday","August","04n","04n","","","","","","","",""
"08/08/2021","23:00","Sunday","August","04n","04n","","","","","","","",""
"08/08/2021","22:30","Sunday","August","04n","04n","","","","","","","",""
"08/08/2021","22:00","Sunday","August","04n","04n","","","","","","","",""
"08/08/2021","21:30","Sunday","August","04n","10n","","","","","","","",""
"08/08/2021","21:00","Sunday","August","04n","10n","","","","","","","",""
"08/08/2021","20:30","Sunday","August","04n","10n","","","","","","","",""
"08/08/2021","20:00","Sunday","August","04n","10n","","","","","","","",""
"08/08/2021","19:30","Sunday","August","04n","10n","","","12.7","","","","",""
"08/08/2021","19:00","Sunday","August","04n","10n","","","46.4","","","","",""
"08/08/2021","18:30","Sunday","August","04n","10n","","","","","","","",""
"08/08/2021","18:00","Sunday","August","04n","10n","","","24.3","","","","",""
"08/08/2021","17:30","Sunday","August","10d","10d","","","","","","","",""
"08/08/2021","17:00","Sunday","August","10d","10d","","","","","","","",""
"08/08/2021","16:30","Sunday","August","10d","10d","","","","","","","",""
"08/08/2021","16:00","Sunday","August","10d","10d","","","","","","","",""
"08/08/2021","15:30","Sunday","August","10d","10d","","","","","","","","1"
"08/08/2021","15:00","Sunday","August","10d","10d","","","","","","","","1"
"08/08/2021","14:30","Sunday","August","10d","10d","","","","","","","","1"
"08/08/2021","14:00","Sunday","August","10d","10d","","","","","","","","1"
"08/08/2021","13:30","Sunday","August","10d","10d","","","","","","","","1"
"08/08/2021","13:00","Sunday","August","10d","10d","","","","","","","","1"
"08/08/2021","12:30","Sunday","August","10d","10d","","","","","","","","1"
"08/08/2021","12:00","Sunday","August","10d","10d","","","","","","","","1"
"08/08/2021","11:30","Sunday","August","10d","10d","","","","","","","","1"
"08/08/2021","11:00","Sunday","August","10d","10d","","","40.15","","","","",""
"08/08/2021","10:30","Sunday","August","10d","10d","","","","","","","",""
"08/08/2021","10:00","Sunday","August","10d","10d","","","","","","","",""
"08/08/2021","09:30","Sunday","August","10d","10d","","","","","","","",""
"08/08/2021","09:00","Sunday","August","10d","10d","","","","","","","",""
"07/08/2021","23:30","Saturday","August","04n","","","","","","","","",""
"07/08/2021","23:00","Saturday","August","04n","","","","","","","","","1"
"07/08/2021","22:30","Saturday","August","04n","","","","","","","","","1"
"07/08/2021","22:00","Saturday","August","04n","","","","","","","","","1"
"07/08/2021","21:30","Saturday","August","04n","","","","","","","","","1"
"07/08/2021","21:00","Saturday","August","04n","","","","","","","","","1"
"07/08/2021","20:30","Saturday","August","04n","","","","","","","","","1"
"07/08/2021","20:00","Saturday","August","04n","","","","","","","","","1"
"07/08/2021","19:30","Saturday","August","04n","","","","122.2","","122","","","1"
"07/08/2021","19:00","Saturday","August","04n","","","","13.2","","13","","","1"
"07/08/2021","18:30","Saturday","August","04n","","","","13.95","","","","",""
"07/08/2021","18:00","Saturday","August","04n","","","","","","","","",""
"07/08/2021","17:30","Saturday","August","04d","","","","35.1","","","","",""
"07/08/2021","17:00","Saturday","August","04d","","","","","","","","",""
"07/08/2021","16:30","Saturday","August","04d","","","","","","","","",""
"07/08/2021","16:00","Saturday","August","04d","","","","","","","","",""
"07/08/2021","15:30","Saturday","August","10d","","","","","","","","",""
"07/08/2021","15:00","Saturday","August","10d","","","","","","","","",""
"07/08/2021","14:30","Saturday","August","10d","","","","","","","","",""
"07/08/2021","14:00","Saturday","August","10d","","","","","","","","",""
"07/08/2021","13:30","Saturday","August","10d","","","","","","","","",""
"07/08/2021","13:00","Saturday","August","10d","","","","","","","","",""
"07/08/2021","12:30","Saturday","August","10d","","","","","","","","",""
"07/08/2021","12:00","Saturday","August","10d","","","","13.4","","","","",""
"07/08/2021","11:30","Saturday","August","10d","","","","","","","","",""
"07/08/2021","11:00","Saturday","August","10d","","","","30","","","","",""
"07/08/2021","10:30","Saturday","August","10d","","","","","","","","",""
"07/08/2021","10:00","Saturday","August","10d","","","","11.5","","","","",""
"07/08/2021","09:30","Saturday","August","10d","","","","","","","","",""
"07/08/2021","09:00","Saturday","August","10d","","","","","","","","",""
"06/08/2021","23:30","Friday","August","10n","","","","","","","","",""
"06/08/2021","23:00","Friday","August","10n","","","","","","","","","1"
"06/08/2021","22:30","Friday","August","10n","","","","","","","","","1"
"06/08/2021","22:00","Friday","August","10n","","","","","","","","","1"
"06/08/2021","21:30","Friday","August","10n","","","","","","","","","1"
"06/08/2021","21:00","Friday","August","10n","","","","","","","","","1"
"06/08/2021","20:30","Friday","August","10n","","","","","","","","","1"
"06/08/2021","20:00","Friday","August","10n","","","","","","","","","1"
"06/08/2021","19:30","Friday","August","10n","","","","","","","","","1"
"06/08/2021","19:00","Friday","August","10n","","","","","","","","","1"
"06/08/2021","18:30","Friday","August","04n","","","","16.2","","","","",""
"06/08/2021","18:00","Friday","August","04n","","","","11.9","","","","",""
"06/08/2021","17:30","Friday","August","04d","","","","61.45","","","","",""
"06/08/2021","17:00","Friday","August","04d","","","","16","","","","",""
"06/08/2021","16:30","Friday","August","04d","","","","","","","","",""
"06/08/2021","16:00","Friday","August","04d","","","","","","","","",""
"06/08/2021","15:30","Friday","August","10d","","","","","","","","",""
"06/08/2021","15:00","Friday","August","10d","","","","","","","","",""
"06/08/2021","14:30","Friday","August","10d","","","","","","","","",""
"06/08/2021","14:00","Friday","August","10d","","","","","","","","",""
"06/08/2021","13:30","Friday","August","10d","","","","","","","","",""
"06/08/2021","13:00","Friday","August","10d","","","","","","","","",""
"06/08/2021","12:30","Friday","August","10d","","","","","","","","",""
"06/08/2021","12:00","Friday","August","10d","","","","","","","","",""
"06/08/2021","11:30","Friday","August","10d","","","","11.95","","","","",""
"06/08/2021","11:00","Friday","August","10d","","","","42.1","","","","",""
"06/08/2021","10:30","Friday","August","10d","","","","20.95","","","","",""
"06/08/2021","10:00","Friday","August","10d","","","","","","","","",""
"06/08/2021","09:30","Friday","August","10d","","","","","","","","",""
"06/08/2021","09:00","Friday","August","10d","","","","","","","","",""
"05/08/2021","23:30","Thursday","August","","10n","","","","","","","",""
"05/08/2021","23:00","Thursday","August","","10n","","","","","","","",""
"05/08/2021","22:30","Thursday","August","","10n","","","","","","","",""
"05/08/2021","22:00","Thursday","August","","10n","","","","","","","",""
"05/08/2021","21:30","Thursday","August","","10n","","","","","","","",""
"05/08/2021","21:00","Thursday","August","","10n","","","","","","","",""
"05/08/2021","20:30","Thursday","August","","10n","","","66.05","","","","",""
"05/08/2021","20:00","Thursday","August","","10n","","","10.12","","","","",""
"05/08/2021","19:30","Thursday","August","","10n","","","27.04","","","","",""
"05/08/2021","19:00","Thursday","August","","10n","","","39.64","","","","",""
"05/08/2021","18:30","Thursday","August","","10n","","","54.85","","","","",""
"05/08/2021","18:00","Thursday","August","","10n","","","30.67","","","","",""
"05/08/2021","17:30","Thursday","August","","10d","","","29.74","","","","",""
"05/08/2021","17:00","Thursday","August","","10d","","","13.8","","","","",""
"05/08/2021","16:30","Thursday","August","","10d","","","","","","","",""
"05/08/2021","16:00","Thursday","August","","10d","","","","","","","",""
"05/08/2021","15:30","Thursday","August","","10d","","","","","","","",""
"05/08/2021","15:00","Thursday","August","","10d","","","","","","","",""
"05/08/2021","14:30","Thursday","August","","10d","","","","","","","",""
"05/08/2021","14:00","Thursday","August","","10d","","","","","","","",""
"05/08/2021","13:30","Thursday","August","","10d","","","","","","","",""
"05/08/2021","13:00","Thursday","August","","10d","","","","","","","",""
"05/08/2021","12:30","Thursday","August","","10d","","","","","","","",""
"05/08/2021","12:00","Thursday","August","","10d","","","26","","","","",""
"05/08/2021","11:30","Thursday","August","","10d","","","7.12","","","","",""
"05/08/2021","11:00","Thursday","August","","10d","","","84.64","","","","",""
"05/08/2021","10:30","Thursday","August","","10d","","","72.95","","","","",""
"05/08/2021","10:00","Thursday","August","","10d","","","17.54","","","","",""
"05/08/2021","09:30","Thursday","August","","10d","","","","","","","",""
"05/08/2021","09:00","Thursday","August","","10d","","","","","","","",""
"04/08/2021","23:00","Wednesday","August","","","","","","","","","","1"
"04/08/2021","22:30","Wednesday","August","","","","","","","","","","1"
"04/08/2021","22:00","Wednesday","August","","","","","","","","","","1"
"04/08/2021","21:30","Wednesday","August","","","","","","","","","","1"
"04/08/2021","21:00","Wednesday","August","","","","","","","","","","1"
"04/08/2021","20:30","Wednesday","August","","","","","14.24","","14","","","1"
"04/08/2021","20:00","Wednesday","August","","","","","53.41","","53","","","1"
"04/08/2021","19:30","Wednesday","August","","","","","12.72","","12","","","1"
"04/08/2021","19:00","Wednesday","August","","","","","94.95","","94","","","1"
"04/08/2021","18:30","Wednesday","August","","","","","11.04","","11","","","1"
"04/08/2021","18:00","Wednesday","August","","","","","95.9","","95","","","1"
"04/08/2021","17:30","Wednesday","August","","","","","54.91","","54","","","1"
"04/08/2021","17:00","Wednesday","August","","","","","22.64","","22","","","1"
"04/08/2021","16:30","Wednesday","August","","","","","","","","","","1"
"04/08/2021","16:00","Wednesday","August","","","","","","","","","","1"
"04/08/2021","15:30","Wednesday","August","","","","","","","","","","1"
"04/08/2021","15:00","Wednesday","August","","","","","","","","","","1"
"04/08/2021","14:30","Wednesday","August","","","","","","","","","","1"
"04/08/2021","14:00","Wednesday","August","","","","","","","","","","1"
"04/08/2021","13:30","Wednesday","August","","","","","","","","","","1"
"04/08/2021","13:00","Wednesday","August","","","","","","","","","","1"
"04/08/2021","12:30","Wednesday","August","","","","","","","","","","1"
"04/08/2021","12:00","Wednesday","August","","","","","39.92","","39","","","1"
"04/08/2021","11:30","Wednesday","August","","","","","32.76","","32","","","1"
"04/08/2021","11:00","Wednesday","August","","","","","58.04","","","","",""
"04/08/2021","10:30","Wednesday","August","","","","","44.88","","","","",""
"03/08/2021","23:30","Tuesday","August","","03n","","","","","","","",""
"03/08/2021","23:00","Tuesday","August","","03n","","","","","","","","1"
"03/08/2021","22:30","Tuesday","August","","04n","","","","","","","","1"
"03/08/2021","22:00","Tuesday","August","","04n","","","","","","","","1"
"03/08/2021","21:30","Tuesday","August","","04n","","","","","","","","1"
"03/08/2021","21:00","Tuesday","August","","04n","","","","","","","","1"
"03/08/2021","20:30","Tuesday","August","","04n","","","","","","","","1"
"03/08/2021","20:00","Tuesday","August","","04n","","","","","","","","1"
"03/08/2021","19:30","Tuesday","August","","01n","","","38.5","","38","","","1"
"03/08/2021","19:00","Tuesday","August","","01n","","","98.8","","98","","","1"
"03/08/2021","18:30","Tuesday","August","","03d","","","103.9","","","","",""
"03/08/2021","18:00","Tuesday","August","","03d","","","62.82","","","","",""
"03/08/2021","17:30","Tuesday","August","","03d","","","84.92","","","","",""
"03/08/2021","17:00","Tuesday","August","","03d","","","27.42","","","","",""
"03/08/2021","16:30","Tuesday","August","","02d","","","","","","","",""
"03/08/2021","16:00","Tuesday","August","","02d","","","","","","","",""
"03/08/2021","15:30","Tuesday","August","","02d","","","","","","","",""
"03/08/2021","15:00","Tuesday","August","","02d","","","","","","","",""
"03/08/2021","14:30","Tuesday","August","","03d","","","","","","","",""
"03/08/2021","14:00","Tuesday","August","","03d","","","","","","","",""
"03/08/2021","13:30","Tuesday","August","","03d","","","","","","","",""
"03/08/2021","13:00","Tuesday","August","","03d","","","","","","","",""
"03/08/2021","12:30","Tuesday","August","","03d","","","","","","","",""
"03/08/2021","12:00","Tuesday","August","","03d","","","12.22","","","","",""
"03/08/2021","11:30","Tuesday","August","","03d","","","52.93","","","","",""
"03/08/2021","11:00","Tuesday","August","","03d","","","61.49","","","","",""
"03/08/2021","10:30","Tuesday","August","","04d","","","46.62","","","","",""
